codebook: 28 defenses
items   : 90
[  1/90] DSQ-60      # 1 → Altruism                    (+—)
[  2/90] DSQ-60      # 2 → Passive Aggression          (+—)
[  3/90] DSQ-60      # 3 → Suppression                 (+—)
[  4/90] DSQ-60      # 4 → Sublimation                 (+—)
  FAIL DSQ-60 #5: unsupported format string passed to NoneType.__format__
[  7/90] DSQ-60      # 6 → Rationalization             (+—)
[  8/90] DSQ-60      # 7 → Humor                       (+—)
[  9/90] DSQ-60      # 8 → Projection                  (+—)
[ 10/90] DSQ-60      # 9 → Altruism                    (+Reaction Formation)
[ 11/90] DSQ-60      #10 → Self-Observation            (+—)
[ 12/90] DSQ-60      #11 → Denial                      (+—)
[ 13/90] DSQ-60      #12 → Omnipotence                 (+Devaluation)
[ 14/90] DSQ-60      #13 → Projection                  (+—)
[ 15/90] DSQ-60      #14 → Dissociation                (+—)
[ 16/90] DSQ-60      #15 → Self-Assertion              (+—)
[ 17/90] DSQ-60      #16 → Omnipotence                 (+—)
[ 18/90] DSQ-60      #17 → Devaluation                 (+Omnipotence)
[ 19/90] DSQ-60      #18 → Acting Out                  (+—)
[ 20/90] DSQ-60      #19 → Devaluation                 (+Apathetic Withdrawal)
[ 21/90] DSQ-60      #20 → Projective Identification   (+—)
[ 22/90] DSQ-60      #21 → Autistic Fantasy            (+—)
[ 23/90] DSQ-60      #22 → Apathetic Withdrawal        (+Passive Aggression)
[ 24/90] DSQ-60      #23 → Dissociation                (+—)
[ 25/90] DSQ-60      #24 → Omnipotence                 (+Denial)
[ 26/90] DSQ-60      #25 → Intellectualization         (+Isolation of Affect)
[ 27/90] DSQ-60      #26 → Rationalization             (+—)
[ 28/90] DSQ-60      #27 → Autistic Fantasy            (+—)
[ 29/90] DSQ-60      #28 → Rationalization             (+—)
[ 30/90] DSQ-60      #29 → Splitting                   (+Omnipotence)
[ 31/90] DSQ-60      #30 → Displacement                (+—)
[ 32/90] DSQ-60      #31 → Acting Out                  (+—)
[ 33/90] DSQ-60      #32 → Repression                  (+—)
[ 34/90] DSQ-60      #33 → Apathetic Withdrawal        (+—)
[ 35/90] DSQ-60      #34 → Idealization                (+—)
[ 36/90] DSQ-60      #35 → Devaluation                 (+—)
  FAIL DSQ-60 #36: unsupported format string passed to NoneType.__format__
[ 39/90] DSQ-60      #37 → Passive Aggression          (+—)
[ 40/90] DSQ-60      #38 → Idealization                (+Omnipotence)
[ 41/90] DSQ-60      #39 → Repression                  (+—)
[ 42/90] DSQ-60      #40 → Altruism                    (+—)
[ 43/90] DSQ-60      #41 → Suppression                 (+—)
  FAIL DSQ-60 #42: unsupported format string passed to NoneType.__format__
[ 46/90] DSQ-60      #43 → Reaction Formation          (+—)
  FAIL DSQ-60 #44: unsupported format string passed to NoneType.__format__
[ 49/90] DSQ-60      #45 → Self-Observation            (+—)
[ 50/90] DSQ-60      #46 → Projection                  (+—)
[ 51/90] DSQ-60      #47 → Anticipation                (+—)
[ 52/90] DSQ-60      #48 → Help-Rejecting Complaining  (+—)
[ 53/90] DSQ-60      #49 → Undoing                     (+—)
[ 54/90] DSQ-60      #50 → Self-Assertion              (+—)
[ 55/90] DSQ-60      #51 → Isolation of Affect         (+—)
[ 56/90] DSQ-60      #52 → Affiliation                 (+—)
[ 57/90] DSQ-60      #53 → Anticipation                (+—)
[ 58/90] DSQ-60      #54 → Help-Rejecting Complaining  (+—)
[ 59/90] DSQ-60      #55 → Intellectualization         (+Isolation of Affect)
[ 60/90] DSQ-60      #56 → Isolation of Affect         (+—)
[ 61/90] DSQ-60      #57 → Sublimation                 (+—)
[ 62/90] DSQ-60      #58 → Affiliation                 (+—)
[ 63/90] DSQ-60      #59 → Undoing                     (+—)
[ 64/90] DSQ-60      #60 → Isolation of Affect         (+Intellectualization)
[ 65/90] DMRS-SR-30  # 1 → Splitting                   (+—)
[ 66/90] DMRS-SR-30  # 2 → Isolation of Affect         (+Intellectualization)
[ 67/90] DMRS-SR-30  # 3 → Dissociation                (+—)
[ 68/90] DMRS-SR-30  # 4 → Altruism                    (+—)
[ 69/90] DMRS-SR-30  # 5 → Autistic Fantasy            (+—)
[ 70/90] DMRS-SR-30  # 6 → Anticipation                (+—)
[ 71/90] DMRS-SR-30  # 7 → Devaluation                 (+—)
[ 72/90] DMRS-SR-30  # 8 → Altruism                    (+—)
[ 73/90] DMRS-SR-30  # 9 → Affiliation                 (+—)
[ 74/90] DMRS-SR-30  #10 → Sublimation                 (+—)
[ 75/90] DMRS-SR-30  #11 → Projection                  (+—)
[ 76/90] DMRS-SR-30  #12 → Humor                       (+—)
[ 77/90] DMRS-SR-30  #13 → Self-Observation            (+—)
[ 78/90] DMRS-SR-30  #14 → Passive Aggression          (+Acting Out)
[ 79/90] DMRS-SR-30  #15 → Rationalization             (+—)
[ 80/90] DMRS-SR-30  #16 → Self-Assertion              (+—)
[ 81/90] DMRS-SR-30  #17 → Idealization                (+—)
[ 82/90] DMRS-SR-30  #18 → Passive Aggression          (+—)
[ 83/90] DMRS-SR-30  #19 → Suppression                 (+—)
[ 84/90] DMRS-SR-30  #20 → Displacement                (+—)
[ 85/90] DMRS-SR-30  #21 → Intellectualization         (+Isolation of Affect)
[ 86/90] DMRS-SR-30  #22 → Help-Rejecting Complaining  (+—)
[ 87/90] DMRS-SR-30  #23 → Projective Identification   (+—)
[ 88/90] DMRS-SR-30  #24 → Dissociation                (+—)
[ 89/90] DMRS-SR-30  #25 → Acting Out                  (+Passive Aggression)
[ 90/90] DMRS-SR-30  #26 → Repression                  (+—)
[ 91/90] DMRS-SR-30  #27 → Suppression                 (+—)
[ 92/90] DMRS-SR-30  #28 → Omnipotence                 (+—)
[ 93/90] DMRS-SR-30  #29 → Isolation of Affect         (+—)
[ 94/90] DMRS-SR-30  #30 → Devaluation                 (+—)

=== DONE ===  new:90 cost:$0.525 time:7.0m
tokens — in:11,636 cache_w:10,444 cache_r:929,516 out:11,489
saved: /Users/jayce/SP2026/Colloquium/Prototyping/twr/dataset/processed/items_labeled.json
