Level,Defense mechanism,#,Film,Year,Director,Character,Actor,IMDb,Quote,Region
Mature,Anticipation,2,Margin Call,2011,J.C. Chandor,John Tuld (Jeremy Irons) and Sam Rogers,Kevin Spacey,tt1615147,"""There are three ways to make a living in this business: be first, be smarter, or cheat."" — John Tuld",
Mature,Anticipation,3,The Big Short,2015,Adam McKay,Michael Burry,Christian Bale,tt1596363,"""I may have been early, but I'm not wrong."" — Michael Burry",
Mature,Anticipation,5,All the President's Men,1976,Alan J. Pakula,Bob Woodward (Robert Redford); Deep Throat,Hal Holbrook,tt0074119,"""Follow the money."" — Deep Throat",
Mature,Anticipation,7,Take Shelter,2011,Jeff Nichols,Curtis LaForche,Michael Shannon,tt1675192,"""There is a storm coming like nothing you have ever seen! And not a one of you is prepared for it!"" — Curtis",
Mature,Anticipation,8,The Lives of Others / Das Leben der Anderen,2006,Florian Henckel von Donnersmarck,Hauptmann Gerd Wiesler,Ulrich Mühe,tt0405094,"""Schreibmaschine — keine."" (""Typewriter — none."") — Wiesler's falsified report",
Mature,Anticipation,9,Z,1969,Costa-Gavras,The Examining Magistrate,Jean-Louis Trintignant,tt0065112,"""Toute ressemblance avec des événements réels, des personnes mortes ou vivantes n'est pas le fait du hasard. Elle est VOLONTAIRE."" (""Any resemblance to real events or persons living or dead is not coincidental. It is INTENTIONAL."") — opening title card",
Mature,Anticipation,10,Up,2009,Pete Docter,Carl Fredricksen,Edward Asner,tt1049413,"""Adventure is out there!"" — Ellie / Carl",
Mature,Affiliation,1,Stand by Me,1986,Rob Reiner,Gordie Lachance,Wil Wheaton / Richard Dreyfuss,tt0092005,"""I never had any friends later on like the ones I had when I was twelve. Jesus, does anyone?"" — The Writer (Gordie)",
Mature,Affiliation,2,The Breakfast Club,1985,John Hughes,Brian / Andrew / Allison / Claire / Bender,"Hall, Estevez, Sheedy, Ringwald, Nelson",tt0088847,"""What we found out is that each one of us is a brain… and an athlete… and a basket case… a princess… and a criminal."" — Brian Johnson (closing letter)",
Mature,Affiliation,3,Beaches,1988,Garry Marshall,CC Bloom (Bette Midler) and Hillary Whitney,Barbara Hershey,tt0094715,"""Did I ever tell you you're my hero? You're everything I would like to be."" — ""Wind Beneath My Wings,"" sung by CC",
Mature,Affiliation,4,Steel Magnolias,1989,Herbert Ross,,,tt0098384,"""Laughter through tears is my favorite emotion."" — Truvy Jones",
Mature,Affiliation,5,Boyz n the Hood,1991,John Singleton,"Tre Styles (Cuba Gooding Jr.), Doughboy (Ice Cube), Ricky",Morris Chestnut,tt0101507,"""Either they don't know, don't show, or don't care about what's going on in the hood."" — Doughboy",
Mature,Affiliation,6,Fried Green Tomatoes,1991,Jon Avnet,"Evelyn Couch (Kathy Bates), Ninny Threadgoode",Jessica Tandy,tt0101921,"""I'm older and I have more insurance!"" — Evelyn Couch",
Mature,Affiliation,7,The Big Chill,1983,Lawrence Kasdan,"Sarah, Harold, Sam, Michael, Karen, Nick, Meg, Chloe","Glenn Close, Kevin Kline, Tom Berenger, Jeff Goldblum, JoBeth Williams, William Hurt, Mary Kay Place, Meg Tilly",tt0085244,"""I haven't met that many happy people in my life. How do they act?"" — Nick",
Mature,Affiliation,8,The Help,2011,Tate Taylor,"Aibileen Clark (Viola Davis), Minny Jackson (Octavia Spencer), Skeeter",Emma Stone,tt1454029,"""You is kind. You is smart. You is important."" — Aibileen Clark",
Mature,Affiliation,9,A League of Their Own,1992,Penny Marshall,,,tt0104694,"""There's no crying in baseball!"" — Jimmy Dugan",
Mature,Affiliation,10,Almost Famous,2000,Cameron Crowe,"William Miller (Patrick Fugit), Penny Lane (Kate Hudson), Russell Hammond",Billy Crudup,tt0181875,"""I am a golden god!"" — Russell Hammond / ""If you ever get lonely, just go to the record store and visit your friends."" — Lester Bangs (paraphrase of confidant role)",
Mature,Affiliation,11,Amélie / Le Fabuleux Destin d'Amélie Poulain,2001,Jean-Pierre Jeunet,"Amélie Poulain (Audrey Tautou); Raymond Dufayel (""Verre Cassé"")",Serge Merlin,tt0211915,"""Cette fille a le cœur fragile, c'est la seule de la bande qui voit l'intérieur des gens."" — Raymond Dufayel (about the girl with the glass — and about Amélie)",
Mature,Affiliation,12,Tampopo,1985,Juzo Itami,,,tt0092048,"""First, observe the whole bowl. Appreciate its gestalt."" — Old Master to apprentice (paraphrase from the film's ramen-etiquette interlude)",
Mature,Affiliation,13,Like Water for Chocolate / Como agua para chocolate,1992,Alfonso Arau,,,tt0103994,"""A la mesa y a la cama, una sola vez se llama."" (""To the table and to bed, one is called only once."") — Mama Elena (against which Tita's affiliative kitchen circle defines itself)",
Mature,Affiliation,14,Sense and Sensibility,1995,Ang Lee,Elinor Dashwood (Emma Thompson); Marianne Dashwood,Kate Winslet,tt0114388,"""Always resignation and acceptance. Always prudence and honour and duty. Elinor, where is your heart?"" — Marianne to Elinor",
Mature,Affiliation,K2,Another Child / 미성년,2019,Kim Yoon-seok,Joo-ri / 주리 (Kim Hye-jun / 김혜준) and Yoon-a / 윤아,Park Se-jin / 박세진,tt8991322,"""우리 둘이 어떻게든 해보자."" / ""Let's the two of us figure something out, somehow."" — Joo-ri to Yoon-a (paraphrase / 의역 — final hospital sequence)",Korean
Mature,Altruism,1,Schindler's List,1993,Steven Spielberg,Oskar Schindler,Liam Neeson,tt0108052,"""This car. Goeth would have bought this car. Why did I keep the car? Ten people right there. Ten people. Ten more people."" — Oskar Schindler",
Mature,Altruism,3,Of Gods and Men / Des hommes et des dieux,2010,Xavier Beauvois,Frère Christian (Lambert Wilson); Frère Luc,Michael Lonsdale,tt1588337,"""If it should happen one day — and it could be today — that I become a victim of the terrorism that now seems to encompass all the foreigners living in Algeria, I would like my community, my Church, my family, to remember that my life was given to God and to this country."" — Frère Christian's testament",
Mature,Altruism,4,Dead Man Walking,1995,Tim Robbins,Sister Helen Prejean,Susan Sarandon,tt0112818,"""I want the last thing you see in this world to be a face of love."" — Sister Helen",
Mature,Altruism,5,Lorenzo's Oil,1992,George Miller,Augusto Odone (Nick Nolte); Michaela Odone,Susan Sarandon,tt0104756,"""I'm not going to give up on him."" — Augusto Odone",
Mature,Altruism,6,To Kill a Mockingbird,1962,Robert Mulligan,Atticus Finch,Gregory Peck,tt0056592,"""You never really understand a person until you consider things from his point of view... until you climb into his skin and walk around in it."" — Atticus Finch",
Mature,Altruism,7,The Mission,1986,Roland Joffé,Father Gabriel (Jeremy Irons); Rodrigo Mendoza,Robert De Niro,tt0091530,"""If might is right, then love has no place in the world. It may be so, it may be so. But I don't have the strength to live in a world like that."" — Father Gabriel",
Mature,Altruism,9,Central Station / Central do Brasil,1998,Walter Salles,Dora (Fernanda Montenegro); Josué,Vinicius de Oliveira,tt0140888,"""I miss my father, I miss everything."" — Dora's letter to Josué",
Mature,Altruism,10,Departures / Okuribito,2008,Yōjirō Takita,Daigo Kobayashi,Masahiro Motoki,tt1069238,"""I want to send people on their way with care."" — Sasaki, the senior encoffiner (paraphrase from the film)",
Mature,Altruism,11,The Cider House Rules,1999,Lasse Hallström,Dr. Wilbur Larch (Michael Caine); Homer Wells,Tobey Maguire,tt0124315,"""Good night, you princes of Maine, you kings of New England!"" — Dr. Larch",
